date,year,month,day,store,eff_year,eff_month,eff_day,eff_store,lambda,clients
2023-01-07,2023,Enero,Sábado,Santa Ana,1000,1000,1000,5000,8000,8035
2023-01-08,2023,Enero,Domingo,Córdoba,1000,1000,1000,3000,6000,6051
2023-01-08,2023,Enero,Domingo,La Floresta,1000,1000,1000,2000,5000,5011
2023-01-08,2023,Enero,Domingo,Los Cedros,1000,1000,1000,3000,6000,6037
2023-01-08,2023,Enero,Domingo,Palermo,1000,1000,1000,1000,4000,4064
2023-01-08,2023,Enero,Domingo,Santa Ana,1000,1000,1000,5000,8000,7945
2023-01-09,2023,Enero,Lunes,Córdoba,1000,1000,2000,3000,7000,6967
2023-01-09,2023,Enero,Lunes,La Floresta,1000,1000,2000,2000,6000,5909
2023-01-09,2023,Enero,Lunes,Los Cedros,1000,1000,2000,3000,7000,6987
2023-01-09,2023,Enero,Lunes,Palermo,1000,1000,2000,1000,5000,4958
2023-01-09,2023,Enero,Lunes,Santa Ana,1000,1000,2000,5000,9000,8893
2023-01-10,2023,Enero,Martes,Córdoba,1000,1000,3000,3000,8000,7989
2023-01-10,2023,Enero,Martes,La Floresta,1000,1000,3000,2000,7000,7072
2023-01-10,2023,Enero,Martes,Los Cedros,1000,1000,3000,3000,8000,7987
2023-01-10,2023,Enero,Martes,Palermo,1000,1000,3000,1000,6000,5880
2023-01-10,2023,Enero,Martes,Santa Ana,1000,1000,3000,5000,10000,10160
2023-01-11,2023,Enero,Miércoles,Córdoba,1000,1000,3500,3000,8500,8522
2023-01-11,2023,Enero,Miércoles,La Floresta,1000,1000,3500,2000,7500,7409
2023-01-11,2023,Enero,Miércoles,Los Cedros,1000,1000,3500,3000,8500,8573
2023-01-11,2023,Enero,Miércoles,Palermo,1000,1000,3500,1000,6500,6484
2023-01-11,2023,Enero,Miércoles,Santa Ana,1000,1000,3500,5000,10500,10441
2023-01-12,2023,Enero,Jueves,Córdoba,1000,1000,3000,3000,8000,7904
2023-01-12,2023,Enero,Jueves,La Floresta,1000,1000,3000,2000,7000,6787
2023-01-12,2023,Enero,Jueves,Los Cedros,1000,1000,3000,3000,8000,7956
2023-01-12,2023,Enero,Jueves,Palermo,1000,1000,3000,1000,6000,5885
2023-01-12,2023,Enero,Jueves,Santa Ana,1000,1000,3000,5000,10000,9833
2023-01-13,2023,Enero,Viernes,Córdoba,1000,1000,2000,3000,7000,6997
2023-01-13,2023,Enero,Viernes,La Floresta,1000,1000,2000,2000,6000,6020
2023-01-13,2023,Enero,Viernes,Los Cedros,1000,1000,2000,3000,7000,7213
2023-01-13,2023,Enero,Viernes,Palermo,1000,1000,2000,1000,5000,5062
2023-01-13,2023,Enero,Viernes,Santa Ana,1000,1000,2000,5000,9000,9022
2023-01-14,2023,Enero,Sábado,Córdoba,1000,1000,1000,3000,6000,6082
2023-01-14,2023,Enero,Sábado,La Floresta,1000,1000,1000,2000,5000,4995
2023-01-14,2023,Enero,Sábado,Los Cedros,1000,1000,1000,3000,6000,5962
2023-01-14,2023,Enero,Sábado,Palermo,1000,1000,1000,1000,4000,3989
2023-01-14,2023,Enero,Sábado,Santa Ana,1000,1000,1000,5000,8000,8178
2023-01-15,2023,Enero,Domingo,Córdoba,1000,1000,1000,3000,6000,5888
2023-01-15,2023,Enero,Domingo,La Floresta,1000,1000,1000,2000,5000,4898
2023-01-15,2023,Enero,Domingo,Los Cedros,1000,1000,1000,3000,6000,5949
2023-01-15,2023,Enero,Domingo,Palermo,1000,1000,1000,1000,4000,4043
2023-01-15,2023,Enero,Domingo,Santa Ana,1000,1000,1000,5000,8000,7890
2023-01-16,2023,Enero,Lunes,Córdoba,1000,1000,2000,3000,7000,6948
2023-01-16,2023,Enero,Lunes,La Floresta,1000,1000,2000,2000,6000,6012
2023-01-16,2023,Enero,Lunes,Los Cedros,1000,1000,2000,3000,7000,7090
2023-01-16,2023,Enero,Lunes,Palermo,1000,1000,2000,1000,5000,4962
2023-01-16,2023,Enero,Lunes,Santa Ana,1000,1000,2000,5000,9000,8921
2023-01-17,2023,Enero,Martes,Córdoba,1000,1000,3000,3000,8000,8129
2023-01-17,2023,Enero,Martes,La Floresta,1000,1000,3000,2000,7000,6907
2023-01-17,2023,Enero,Martes,Los Cedros,1000,1000,3000,3000,8000,7984
2023-01-17,2023,Enero,Martes,Palermo,1000,1000,3000,1000,6000,6112
2023-01-17,2023,Enero,Martes,Santa Ana,1000,1000,3000,5000,10000,9926
2023-01-18,2023,Enero,Miércoles,Córdoba,1000,1000,3500,3000,8500,8682
2023-01-18,2023,Enero,Miércoles,La Floresta,1000,1000,3500,2000,7500,7573
2023-01-18,2023,Enero,Miércoles,Los Cedros,1000,1000,3500,3000,8500,8466
2023-01-18,2023,Enero,Miércoles,Palermo,1000,1000,3500,1000,6500,6560
2023-01-18,2023,Enero,Miércoles,Santa Ana,1000,1000,3500,5000,10500,10505
2023-01-19,2023,Enero,Jueves,Córdoba,1000,1000,3000,3000,8000,8000
2023-01-19,2023,Enero,Jueves,La Floresta,1000,1000,3000,2000,7000,6903
2023-01-19,2023,Enero,Jueves,Los Cedros,1000,1000,3000,3000,8000,8025
2023-01-19,2023,Enero,Jueves,Palermo,1000,1000,3000,1000,6000,5925
2023-01-19,2023,Enero,Jueves,Santa Ana,1000,1000,3000,5000,10000,9866
2023-01-20,2023,Enero,Viernes,Córdoba,1000,1000,2000,3000,7000,7054
2023-01-20,2023,Enero,Viernes,La Floresta,1000,1000,2000,2000,6000,5895
2023-01-20,2023,Enero,Viernes,Los Cedros,1000,1000,2000,3000,7000,7048
2023-01-20,2023,Enero,Viernes,Palermo,1000,1000,2000,1000,5000,4933
2023-01-20,2023,Enero,Viernes,Santa Ana,1000,1000,2000,5000,9000,8878
2023-01-21,2023,Enero,Sábado,Córdoba,1000,1000,1000,3000,6000,5951
2023-01-21,2023,Enero,Sábado,La Floresta,1000,1000,1000,2000,5000,5129
2023-01-21,2023,Enero,Sábado,Los Cedros,1000,1000,1000,3000,6000,5954
2023-01-21,2023,Enero,Sábado,Palermo,1000,1000,1000,1000,4000,4030
2023-01-21,2023,Enero,Sábado,Santa Ana,1000,1000,1000,5000,8000,7885
2023-01-22,2023,Enero,Domingo,Córdoba,1000,1000,1000,3000,6000,6083
2023-01-22,2023,Enero,Domingo,La Floresta,1000,1000,1000,2000,5000,4913
2023-01-22,2023,Enero,Domingo,Los Cedros,1000,1000,1000,3000,6000,6148
2023-01-22,2023,Enero,Domingo,Palermo,1000,1000,1000,1000,4000,3994
2023-01-22,2023,Enero,Domingo,Santa Ana,1000,1000,1000,5000,8000,8034
2023-01-23,2023,Enero,Lunes,Córdoba,1000,1000,2000,3000,7000,7037
2023-01-23,2023,Enero,Lunes,La Floresta,1000,1000,2000,2000,6000,6023
2023-01-23,2023,Enero,Lunes,Los Cedros,1000,1000,2000,3000,7000,7025
2023-01-23,2023,Enero,Lunes,Palermo,1000,1000,2000,1000,5000,4974
2023-01-23,2023,Enero,Lunes,Santa Ana,1000,1000,2000,5000,9000,8922
2023-01-24,2023,Enero,Martes,Córdoba,1000,1000,3000,3000,8000,7893
2023-01-24,2023,Enero,Martes,La Floresta,1000,1000,3000,2000,7000,6932
2023-01-24,2023,Enero,Martes,Los Cedros,1000,1000,3000,3000,8000,8091
2023-01-24,2023,Enero,Martes,Palermo,1000,1000,3000,1000,6000,5852
2023-01-24,2023,Enero,Martes,Santa Ana,1000,1000,3000,5000,10000,9987
2023-01-25,2023,Enero,Miércoles,Córdoba,1000,1000,3500,3000,8500,8303
2023-01-25,2023,Enero,Miércoles,La Floresta,1000,1000,3500,2000,7500,7650
2023-01-25,2023,Enero,Miércoles,Los Cedros,1000,1000,3500,3000,8500,8441
2023-01-25,2023,Enero,Miércoles,Palermo,1000,1000,3500,1000,6500,6388
2023-01-25,2023,Enero,Miércoles,Santa Ana,1000,1000,3500,5000,10500,10443
2023-01-26,2023,Enero,Jueves,Córdoba,1000,1000,3000,3000,8000,7779
2023-01-26,2023,Enero,Jueves,La Floresta,1000,1000,3000,2000,7000,7044
2023-01-26,2023,Enero,Jueves,Los Cedros,1000,1000,3000,3000,8000,7952
2023-01-26,2023,Enero,Jueves,Palermo,1000,1000,3000,1000,6000,6103
2023-01-26,2023,Enero,Jueves,Santa Ana,1000,1000,3000,5000,10000,9782
2023-01-27,2023,Enero,Viernes,Córdoba,1000,1000,2000,3000,7000,7092
2023-01-27,2023,Enero,Viernes,La Floresta,1000,1000,2000,2000,6000,6016
2023-01-27,2023,Enero,Viernes,Los Cedros,1000,1000,2000,3000,7000,6809
2023-01-27,2023,Enero,Viernes,Palermo,1000,1000,2000,1000,5000,5005
2023-01-27,2023,Enero,Viernes,Santa Ana,1000,1000,2000,5000,9000,8923
2023-01-28,2023,Enero,Sábado,Córdoba,1000,1000,1000,3000,6000,6008
2023-01-28,2023,Enero,Sábado,La Floresta,1000,1000,1000,2000,5000,5081
2023-01-28,2023,Enero,Sábado,Los Cedros,1000,1000,1000,3000,6000,6067
2023-01-28,2023,Enero,Sábado,Palermo,1000,1000,1000,1000,4000,4055
2023-01-28,2023,Enero,Sábado,Santa Ana,1000,1000,1000,5000,8000,8160
2023-01-29,2023,Enero,Domingo,Córdoba,1000,1000,1000,3000,6000,5936
2023-01-29,2023,Enero,Domingo,La Floresta,1000,1000,1000,2000,5000,4977
2023-01-29,2023,Enero,Domingo,Los Cedros,1000,1000,1000,3000,6000,5945
2023-01-29,2023,Enero,Domingo,Palermo,1000,1000,1000,1000,4000,3996
2023-01-29,2023,Enero,Domingo,Santa Ana,1000,1000,1000,5000,8000,8109
2023-01-30,2023,Enero,Lunes,Córdoba,1000,1000,2000,3000,7000,6958
2023-01-30,2023,Enero,Lunes,La Floresta,1000,1000,2000,2000,6000,5973
2023-01-30,2023,Enero,Lunes,Los Cedros,1000,1000,2000,3000,7000,6950
2023-01-30,2023,Enero,Lunes,Palermo,1000,1000,2000,1000,5000,5119
2023-01-30,2023,Enero,Lunes,Santa Ana,1000,1000,2000,5000,9000,8963
2023-01-31,2023,Enero,Martes,Córdoba,1000,1000,3000,3000,8000,8051
2023-01-31,2023,Enero,Martes,La Floresta,1000,1000,3000,2000,7000,7081
2023-01-31,2023,Enero,Martes,Los Cedros,1000,1000,3000,3000,8000,8034
2023-01-31,2023,Enero,Martes,Palermo,1000,1000,3000,1000,6000,6055
2023-01-31,2023,Enero,Martes,Santa Ana,1000,1000,3000,5000,10000,10117
2023-02-01,2023,Febrero,Miércoles,Córdoba,1000,1500,3500,3000,9000,9083
2023-02-01,2023,Febrero,Miércoles,La Floresta,1000,1500,3500,2000,8000,7860
2023-02-01,2023,Febrero,Miércoles,Los Cedros,1000,1500,3500,3000,9000,8842
2023-02-01,2023,Febrero,Miércoles,Palermo,1000,1500,3500,1000,7000,7080
2023-02-01,2023,Febrero,Miércoles,Santa Ana,1000,1500,3500,5000,11000,10865
2023-02-02,2023,Febrero,Jueves,Córdoba,1000,1500,3000,3000,8500,8491
2023-02-02,2023,Febrero,Jueves,La Floresta,1000,1500,3000,2000,7500,7522
2023-02-02,2023,Febrero,Jueves,Los Cedros,1000,1500,3000,3000,8500,8531
2023-02-02,2023,Febrero,Jueves,Palermo,1000,1500,3000,1000,6500,6515
2023-02-02,2023,Febrero,Jueves,Santa Ana,1000,1500,3000,5000,10500,10722
2023-02-03,2023,Febrero,Viernes,Córdoba,1000,1500,2000,3000,7500,7540
2023-02-03,2023,Febrero,Viernes,La Floresta,1000,1500,2000,2000,6500,6498
2023-02-03,2023,Febrero,Viernes,Los Cedros,1000,1500,2000,3000,7500,7663
2023-02-03,2023,Febrero,Viernes,Palermo,1000,1500,2000,1000,5500,5397
2023-02-03,2023,Febrero,Viernes,Santa Ana,1000,1500,2000,5000,9500,9579
2023-02-04,2023,Febrero,Sábado,Córdoba,1000,1500,1000,3000,6500,6408
2023-02-04,2023,Febrero,Sábado,La Floresta,1000,1500,1000,2000,5500,5464
2023-02-04,2023,Febrero,Sábado,Los Cedros,1000,1500,1000,3000,6500,6565
2023-02-04,2023,Febrero,Sábado,Palermo,1000,1500,1000,1000,4500,4474
2023-02-04,2023,Febrero,Sábado,Santa Ana,1000,1500,1000,5000,8500,8578
2023-02-05,2023,Febrero,Domingo,Córdoba,1000,1500,1000,3000,6500,6471
2023-02-05,2023,Febrero,Domingo,La Floresta,1000,1500,1000,2000,5500,5475
2023-02-05,2023,Febrero,Domingo,Los Cedros,1000,1500,1000,3000,6500,6512
2023-02-05,2023,Febrero,Domingo,Palermo,1000,1500,1000,1000,4500,4558
2023-02-05,2023,Febrero,Domingo,Santa Ana,1000,1500,1000,5000,8500,8681
2023-02-06,2023,Febrero,Lunes,Córdoba,1000,1500,2000,3000,7500,7490
2023-02-06,2023,Febrero,Lunes,La Floresta,1000,1500,2000,2000,6500,6532
2023-02-06,2023,Febrero,Lunes,Los Cedros,1000,1500,2000,3000,7500,7522
2023-02-06,2023,Febrero,Lunes,Palermo,1000,1500,2000,1000,5500,5579
2023-02-06,2023,Febrero,Lunes,Santa Ana,1000,1500,2000,5000,9500,9366
2023-02-07,2023,Febrero,Martes,Córdoba,1000,1500,3000,3000,8500,8352
2023-02-07,2023,Febrero,Martes,La Floresta,1000,1500,3000,2000,7500,7576
2023-02-07,2023,Febrero,Martes,Los Cedros,1000,1500,3000,3000,8500,8441
2023-02-07,2023,Febrero,Martes,Palermo,1000,1500,3000,1000,6500,6539
2023-02-07,2023,Febrero,Martes,Santa Ana,1000,1500,3000,5000,10500,10440
2023-02-08,2023,Febrero,Miércoles,Córdoba,1000,1500,3500,3000,9000,8924
2023-02-08,2023,Febrero,Miércoles,La Floresta,1000,1500,3500,2000,8000,7914
2023-02-08,2023,Febrero,Miércoles,Los Cedros,1000,1500,3500,3000,9000,9043
2023-02-08,2023,Febrero,Miércoles,Palermo,1000,1500,3500,1000,7000,7025
2023-02-08,2023,Febrero,Miércoles,Santa Ana,1000,1500,3500,5000,11000,10872
2023-02-09,2023,Febrero,Jueves,Córdoba,1000,1500,3000,3000,8500,8378
2023-02-09,2023,Febrero,Jueves,La Floresta,1000,1500,3000,2000,7500,7658
2023-02-09,2023,Febrero,Jueves,Los Cedros,1000,1500,3000,3000,8500,8554
2023-02-09,2023,Febrero,Jueves,Palermo,1000,1500,3000,1000,6500,6291
2023-02-09,2023,Febrero,Jueves,Santa Ana,1000,1500,3000,5000,10500,10286
2023-02-10,2023,Febrero,Viernes,Córdoba,1000,1500,2000,3000,7500,7314
2023-02-10,2023,Febrero,Viernes,La Floresta,1000,1500,2000,2000,6500,6596
2023-02-10,2023,Febrero,Viernes,Los Cedros,1000,1500,2000,3000,7500,7561
2023-02-10,2023,Febrero,Viernes,Palermo,1000,1500,2000,1000,5500,5449
2023-02-10,2023,Febrero,Viernes,Santa Ana,1000,1500,2000,5000,9500,9572
2023-02-11,2023,Febrero,Sábado,Córdoba,1000,1500,1000,3000,6500,6674
2023-02-11,2023,Febrero,Sábado,La Floresta,1000,1500,1000,2000,5500,5382
2023-02-11,2023,Febrero,Sábado,Los Cedros,1000,1500,1000,3000,6500,6571
2023-02-11,2023,Febrero,Sábado,Palermo,1000,1500,1000,1000,4500,4514
2023-02-11,2023,Febrero,Sábado,Santa Ana,1000,1500,1000,5000,8500,8557
2023-02-12,2023,Febrero,Domingo,Córdoba,1000,1500,1000,3000,6500,6390
2023-02-12,2023,Febrero,Domingo,La Floresta,1000,1500,1000,2000,5500,5532
2023-02-12,2023,Febrero,Domingo,Los Cedros,1000,1500,1000,3000,6500,6404
2023-02-12,2023,Febrero,Domingo,Palermo,1000,1500,1000,1000,4500,4482
2023-02-12,2023,Febrero,Domingo,Santa Ana,1000,1500,1000,5000,8500,8520
2023-02-13,2023,Febrero,Lunes,Córdoba,1000,1500,2000,3000,7500,7522
2023-02-13,2023,Febrero,Lunes,La Floresta,1000,1500,2000,2000,6500,6483
2023-02-13,2023,Febrero,Lunes,Los Cedros,1000,1500,2000,3000,7500,7534
2023-02-13,2023,Febrero,Lunes,Palermo,1000,1500,2000,1000,5500,5481
2023-02-13,2023,Febrero,Lunes,Santa Ana,1000,1500,2000,5000,9500,9435
2023-02-14,2023,Febrero,Martes,Córdoba,1000,1500,3000,3000,8500,8583
2023-02-14,2023,Febrero,Martes,La Floresta,1000,1500,3000,2000,7500,7518
2023-02-14,2023,Febrero,Martes,Los Cedros,1000,1500,3000,3000,8500,8555
2023-02-14,2023,Febrero,Martes,Palermo,1000,1500,3000,1000,6500,6536
2023-02-14,2023,Febrero,Martes,Santa Ana,1000,1500,3000,5000,10500,10493
2023-02-15,2023,Febrero,Miércoles,Córdoba,1000,1500,3500,3000,9000,9005
2023-02-15,2023,Febrero,Miércoles,La Floresta,1000,1500,3500,2000,8000,7964
2023-02-15,2023,Febrero,Miércoles,Los Cedros,1000,1500,3500,3000,9000,9068
2023-02-15,2023,Febrero,Miércoles,Palermo,1000,1500,3500,1000,7000,7145
2023-02-15,2023,Febrero,Miércoles,Santa Ana,1000,1500,3500,5000,11000,10980
2023-02-16,2023,Febrero,Jueves,Córdoba,1000,1500,3000,3000,8500,8455
2023-02-16,2023,Febrero,Jueves,La Floresta,1000,1500,3000,2000,7500,7499
2023-02-16,2023,Febrero,Jueves,Los Cedros,1000,1500,3000,3000,8500,8331
2023-02-16,2023,Febrero,Jueves,Palermo,1000,1500,3000,1000,6500,6328
2023-02-16,2023,Febrero,Jueves,Santa Ana,1000,1500,3000,5000,10500,10444
2023-02-17,2023,Febrero,Viernes,Córdoba,1000,1500,2000,3000,7500,7573
2023-02-17,2023,Febrero,Viernes,La Floresta,1000,1500,2000,2000,6500,6598
2023-02-17,2023,Febrero,Viernes,Los Cedros,1000,1500,2000,3000,7500,7399
2023-02-17,2023,Febrero,Viernes,Palermo,1000,1500,2000,1000,5500,5399
2023-02-17,2023,Febrero,Viernes,Santa Ana,1000,1500,2000,5000,9500,9447
2023-02-18,2023,Febrero,Sábado,Córdoba,1000,1500,1000,3000,6500,6401
2023-02-18,2023,Febrero,Sábado,La Floresta,1000,1500,1000,2000,5500,5476
2023-02-18,2023,Febrero,Sábado,Los Cedros,1000,1500,1000,3000,6500,6506
2023-02-18,2023,Febrero,Sábado,Palermo,1000,1500,1000,1000,4500,4426
2023-02-18,2023,Febrero,Sábado,Santa Ana,1000,1500,1000,5000,8500,8551
2023-02-19,2023,Febrero,Domingo,Córdoba,1000,1500,1000,3000,6500,6304
2023-02-19,2023,Febrero,Domingo,La Floresta,1000,1500,1000,2000,5500,5558
2023-02-19,2023,Febrero,Domingo,Los Cedros,1000,1500,1000,3000,6500,6493
2023-02-19,2023,Febrero,Domingo,Palermo,1000,1500,1000,1000,4500,4431
2023-02-19,2023,Febrero,Domingo,Santa Ana,1000,1500,1000,5000,8500,8472
2023-02-20,2023,Febrero,Lunes,Córdoba,1000,1500,2000,3000,7500,7537
2023-02-20,2023,Febrero,Lunes,La Floresta,1000,1500,2000,2000,6500,6520
2023-02-20,2023,Febrero,Lunes,Los Cedros,1000,1500,2000,3000,7500,7355
2023-02-20,2023,Febrero,Lunes,Palermo,1000,1500,2000,1000,5500,5585
2023-02-20,2023,Febrero,Lunes,Santa Ana,1000,1500,2000,5000,9500,9440
2023-02-21,2023,Febrero,Martes,Córdoba,1000,1500,3000,3000,8500,8610
2023-02-21,2023,Febrero,Martes,La Floresta,1000,1500,3000,2000,7500,7467
2023-02-21,2023,Febrero,Martes,Los Cedros,1000,1500,3000,3000,8500,8457
2023-02-21,2023,Febrero,Martes,Palermo,1000,1500,3000,1000,6500,6496
2023-02-21,2023,Febrero,Martes,Santa Ana,1000,1500,3000,5000,10500,10583
2023-02-22,2023,Febrero,Miércoles,Córdoba,1000,1500,3500,3000,9000,9160
2023-02-22,2023,Febrero,Miércoles,La Floresta,1000,1500,3500,2000,8000,8106
2023-02-22,2023,Febrero,Miércoles,Los Cedros,1000,1500,3500,3000,9000,9000
2023-02-22,2023,Febrero,Miércoles,Palermo,1000,1500,3500,1000,7000,6877
2023-02-22,2023,Febrero,Miércoles,Santa Ana,1000,1500,3500,5000,11000,11168
2023-02-23,2023,Febrero,Jueves,Córdoba,1000,1500,3000,3000,8500,8555
2023-02-23,2023,Febrero,Jueves,La Floresta,1000,1500,3000,2000,7500,7415
2023-02-23,2023,Febrero,Jueves,Los Cedros,1000,1500,3000,3000,8500,8668
2023-02-23,2023,Febrero,Jueves,Palermo,1000,1500,3000,1000,6500,6454
2023-02-23,2023,Febrero,Jueves,Santa Ana,1000,1500,3000,5000,10500,10393
2023-02-24,2023,Febrero,Viernes,Córdoba,1000,1500,2000,3000,7500,7513
2023-02-24,2023,Febrero,Viernes,La Floresta,1000,1500,2000,2000,6500,6625
2023-02-24,2023,Febrero,Viernes,Los Cedros,1000,1500,2000,3000,7500,7610
2023-02-24,2023,Febrero,Viernes,Palermo,1000,1500,2000,1000,5500,5552
2023-02-24,2023,Febrero,Viernes,Santa Ana,1000,1500,2000,5000,9500,9494
2023-02-25,2023,Febrero,Sábado,Córdoba,1000,1500,1000,3000,6500,6574
2023-02-25,2023,Febrero,Sábado,La Floresta,1000,1500,1000,2000,5500,5556
2023-02-25,2023,Febrero,Sábado,Los Cedros,1000,1500,1000,3000,6500,6392
2023-02-25,2023,Febrero,Sábado,Palermo,1000,1500,1000,1000,4500,4558
2023-02-25,2023,Febrero,Sábado,Santa Ana,1000,1500,1000,5000,8500,8442
2023-02-26,2023,Febrero,Domingo,Córdoba,1000,1500,1000,3000,6500,6541
2023-02-26,2023,Febrero,Domingo,La Floresta,1000,1500,1000,2000,5500,5632
2023-02-26,2023,Febrero,Domingo,Los Cedros,1000,1500,1000,3000,6500,6279
2023-02-26,2023,Febrero,Domingo,Palermo,1000,1500,1000,1000,4500,4345
2023-02-26,2023,Febrero,Domingo,Santa Ana,1000,1500,1000,5000,8500,8514
2023-02-27,2023,Febrero,Lunes,Córdoba,1000,1500,2000,3000,7500,7545
2023-02-27,2023,Febrero,Lunes,La Floresta,1000,1500,2000,2000,6500,6558
2023-02-27,2023,Febrero,Lunes,Los Cedros,1000,1500,2000,3000,7500,7301
2023-02-27,2023,Febrero,Lunes,Palermo,1000,1500,2000,1000,5500,5526
2023-02-27,2023,Febrero,Lunes,Santa Ana,1000,1500,2000,5000,9500,9582
2023-02-28,2023,Febrero,Martes,Córdoba,1000,1500,3000,3000,8500,8524
2023-02-28,2023,Febrero,Martes,La Floresta,1000,1500,3000,2000,7500,7543
2023-02-28,2023,Febrero,Martes,Los Cedros,1000,1500,3000,3000,8500,8610
2023-02-28,2023,Febrero,Martes,Palermo,1000,1500,3000,1000,6500,6597
2023-02-28,2023,Febrero,Martes,Santa Ana,1000,1500,3000,5000,10500,10471
2023-03-01,2023,Marzo,Miércoles,Córdoba,1000,2000,3500,3000,9500,9378
2023-03-01,2023,Marzo,Miércoles,La Floresta,1000,2000,3500,2000,8500,8408
2023-03-01,2023,Marzo,Miércoles,Los Cedros,1000,2000,3500,3000,9500,9455
2023-03-01,2023,Marzo,Miércoles,Palermo,1000,2000,3500,1000,7500,7448
2023-03-01,2023,Marzo,Miércoles,Santa Ana,1000,2000,3500,5000,11500,11428
2023-03-02,2023,Marzo,Jueves,Córdoba,1000,2000,3000,3000,9000,9037
2023-03-02,2023,Marzo,Jueves,La Floresta,1000,2000,3000,2000,8000,8149
2023-03-02,2023,Marzo,Jueves,Los Cedros,1000,2000,3000,3000,9000,8880
2023-03-02,2023,Marzo,Jueves,Palermo,1000,2000,3000,1000,7000,6841
2023-03-02,2023,Marzo,Jueves,Santa Ana,1000,2000,3000,5000,11000,11028
2023-03-03,2023,Marzo,Viernes,Córdoba,1000,2000,2000,3000,8000,8143
2023-03-03,2023,Marzo,Viernes,La Floresta,1000,2000,2000,2000,7000,7064
2023-03-03,2023,Marzo,Viernes,Los Cedros,1000,2000,2000,3000,8000,7943
2023-03-03,2023,Marzo,Viernes,Palermo,1000,2000,2000,1000,6000,5937
2023-03-03,2023,Marzo,Viernes,Santa Ana,1000,2000,2000,5000,10000,9977
2023-03-04,2023,Marzo,Sábado,Córdoba,1000,2000,1000,3000,7000,6946
2023-03-04,2023,Marzo,Sábado,La Floresta,1000,2000,1000,2000,6000,6034
2023-03-04,2023,Marzo,Sábado,Los Cedros,1000,2000,1000,3000,7000,6934
2023-03-04,2023,Marzo,Sábado,Palermo,1000,2000,1000,1000,5000,4918
2023-03-04,2023,Marzo,Sábado,Santa Ana,1000,2000,1000,5000,9000,9069
2023-03-05,2023,Marzo,Domingo,Córdoba,1000,2000,1000,3000,7000,7015
2023-03-05,2023,Marzo,Domingo,La Floresta,1000,2000,1000,2000,6000,5986
2023-03-05,2023,Marzo,Domingo,Los Cedros,1000,2000,1000,3000,7000,7085
